Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,-9.5,sabato,08/07/2014 14:38.46
Portafogli,-3.5,,11/07/2014 18:23.06
Portafogli,-7,sabato,17/07/2014 09:36.55
Portafogli,-10,ricarica telefonica,17/07/2014 09:37.11
Portafogli,76.3,,10/11/2014 11:26.39
Portafogli,-5,regalo per compleanno Giupi Tota,11/11/2014 20:32.34
Portafogli,0.8,trovati,13/11/2014 17:29.41
Portafogli,-5.5,uscita,15/11/2014 10:33.27
Portafogli,-7,sabato,19/11/2014 09:45.35
Portafogli,20,(pap… per la patente),19/11/2014 18:53.31
Portafogli,60.8,paghetta,26/11/2014 17:27.58
Portafogli,-3.5,uscita,29/11/2014 19:20.01
Portafogli,-5,sabato,30/11/2014 11:20.29
Portafogli,-5,sabato,07/12/2014 16:52.44
Portafogli,-10,ricarica cellulare,12/12/2014 10:07.42
Portafogli,-10,prestati,16/12/2014 18:22.31
Portafogli,-1.5,,18/12/2014 20:45.43
Portafogli,20,,20/12/2014 19:23.18
Portafogli,-15,regalo di natale per Aldo,20/12/2014 19:24.42
Portafogli,-5,sabat,22/12/2014 11:31.32
Portafogli,-14.3,pranzo vigilia di natale e varie,25/12/2014 20:23.54
Portafogli,22,regali natale e vincite giochi,25/12/2014 20:25.17
Portafogli,2,(RIVEDERE TUTTO),12/02/2015 20:42.45
Portafogli,-10,|(RIVEDERE TUTTO||CARTA CORRETTO)|,12/02/2015 20:43.18
Portafogli,50,da aggiustare,11/04/2015 09:50.50
Portafogli,-15,(approssimativo. da verificare),09/05/2015 19:11.59
Portafogli,-70,Da ricontare,09/05/2015 19:12.29
Portafogli,-50,DA RICONTARE,13/06/2015 20:49.23
Genius Card,97,,07/10/2018 20:01.34
Portafogli,65,,07/10/2018 20:01.34
Portafogli,10,,07/10/2018 21:30.10
Portafogli,-5,gelato,13/10/2018 20:09.33
Portafogli,-20,sabato,15/10/2018 12:21.28
Genius Card,-94,viaggio irlanda,20/10/2018 10:00.35
Portafogli,-10,viaggio irlanda,20/10/2018 10:00.35
Portafogli,-30,hotel dublino,21/10/2018 16:32.59
Portafogli,-10,bowling,26/10/2018 18:33.20
Portafogli,85,,26/10/2018 19:38.36
Genius Card,300,albergo belfast,31/10/2018 15:23.40
Portafogli,-50,albergo belfast,31/10/2018 15:23.40
Genius Card,-5,amazon prime e sabato sera,06/11/2018 09:44.32
Portafogli,-5,amazon prime e sabato sera,06/11/2018 09:44.32
Genius Card,-17,scarpe,07/11/2018 11:10.55
Portafogli,-10,regalo Giupi,11/11/2018 14:31.34
Portafogli,245,stipendio,13/11/2018 12:28.50
Genius Card,-54,abiti,14/11/2018 22:02.31
Genius Card,-20,biglietti belfast. Sabato sera,18/11/2018 21:08.44
Portafogli,20,biglietti belfast. Sabato sera,18/11/2018 21:08.44
Genius Card,135,trasferimento pi— spese,20/11/2018 14:51.07
Portafogli,-160,trasferimento pi— spese,20/11/2018 14:51.07
Genius Card,-136,Viaggio Irlanda,29/11/2018 12:39.18
Portafogli,-20,Viaggio Irlanda,29/11/2018 12:39.18
Portafogli,-25,uscita + varie,30/11/2018 18:31.44
Portafogli,-5,varie,30/11/2018 18:32.07
Portafogli,-15,sabato e varie,05/12/2018 22:10.37
Genius Card,-18,benzina,05/12/2018 22:10.52
Genius Card,-5,AMAZON!,05/12/2018 22:11.46
Genius Card,-1,gioco steam,06/12/2018 21:57.18
Genius Card,112,stipendio Cittadella,06/12/2018 21:59.15
Genius Card,-102,Palestra,08/12/2018 17:17.56
Genius Card,-19,uscita e varie,11/12/2018 19:18.15
Genius Card,-18,GPL,13/12/2018 18:20.52
Portafogli,-25,regalo morciano,15/12/2018 18:27.49
Portafogli,-10,varie,15/12/2018 18:28.10
Portafogli,-25,Sabato + regalo compleanno Silvia,16/12/2018 12:04.36
Genius Card,-40,|Regalo di natale per Ale (plaid con maniche, collana)|,16/12/2018 21:28.11
Genius Card,-20,ricarica Yap mamma (per il bonus),18/12/2018 22:06.33
Portafogli,45,ritorno debito,22/12/2018 17:06.14
